final_cluster;1;2;3
is_chain_mean;0.2920952167078374;0.46556860742253997;0.6461483081353492
product_score_mean;-0.11239569911686059;-0.02626874642915715;0.02952681057339606
vendor_score_mean;-0.1955003612999097;-0.07873082107710004;0.0229064609113161
daytime_orders_mean;0.024951942879415254;0.05350832171831785;0.11103692985349349
evening_orders_mean;0.023192973364905684;0.04147782114484865;0.07461910878169138
chain_vendor_interaction_mean;-0.03575558081167556;-0.007154975583571735;0.037588089534736205
CLV_Score_mean;-0.11037831012556382;-0.04898624138551488;0.4768544269638868
value_retention_mean;-0.5775522006461107;0.8467275667828283;1.7176772130784914
value_growth_mean;-0.5877782386204685;0.6881438628004574;1.8704303664791464
growth_momentum_mean;-0.5351293681715683;0.2295080117443684;1.9827037452032077
spend_consistency_mean;-0.5890429236213464;0.7141409381342599;1.8571750865182712
avg_order_value_mean;-0.5885860385880767;0.7207864284625649;1.8506602763326365
active_spend_rate_mean;-0.4026273804175822;0.005137925059576397;1.6098593431360984
Beverages_Cafe_mean;0.05979966882800354;0.11074638305998298;0.1727865875977439
Desserts_Snacks_mean;0.04697929890299829;0.12579156191705274;0.2019388191000205
General_Asian_mean;0.10125366189639802;0.2313082785876545;0.34382967543195914
Main_Dishes_mean;0.10763893503697002;0.14856633799201424;0.20793857636143642
Other_Asian_mean;0.12379922935441671;0.18829162046094486;0.2657786707439894
Western_mean;0.14878560776079286;0.22750540001357256;0.32758198288449764
last_promo_mean;0.9553110262744218;0.7801327885597549;0.6963642908567315
payment_method_mean;1.009252189535145;1.036261491317671;1.0241180705543556
customer_region_0_mean;0.1306534920278464;0.09627170582226761;0.08081353491720662
customer_region_1_mean;0.3339770940938693;0.16521961184882533;0.13426925845932325
customer_region_2_mean;0.2905007859869751;0.3192032686414709;0.32973362131029516
customer_region_3_mean;0.24486862789130923;0.4193054136874362;0.45518358531317493
DOW_0_mean;0.31488883898495396;0.6976506639427987;1.4357451403887689
DOW_1_mean;0.3183471816752751;0.686414708886619;1.4965802735781137
DOW_2_mean;0.3309229732764428;0.7382533197139939;1.5437365010799136
DOW_3_mean;0.35553559398158546;0.7780898876404494;1.580273578113751
DOW_4_mean;0.4166629238715473;0.8378447395301328;1.6286897048236142
DOW_5_mean;0.42016618010330115;0.797752808988764;1.5
DOW_6_mean;0.44971929036604535;0.8335035750766088;1.6515478761699065
is_chain_std;0.2669053498913454;0.3537376701686715;0.35253565978788565
product_score_std;0.05617449523276266;0.04786725525113223;0.03685302263786305
vendor_score_std;0.11163309844195546;0.12726212344709842;0.11724653703255401
daytime_orders_std;0.027929097388254116;0.05049040433059843;0.11277659576456091
evening_orders_std;0.02922012346619839;0.05428175015544226;0.10494298321569259
chain_vendor_interaction_std;0.043924331362496884;0.06871525523677122;0.08065663942658512
CLV_Score_std;0.9912210350510948;0.8403157007880425;0.9998788045144825
value_retention_std;0.3237052936753837;0.49964974399092205;0.5691994364522919
value_growth_std;0.2592096756386995;0.33504373766370354;0.38357796703735747
growth_momentum_std;0.08195511845170539;0.3595573472423004;0.6917152010494565
spend_consistency_std;0.268740313558723;0.3322477074232637;0.38214554040944915
avg_order_value_std;0.2711603206398896;0.3621146170686727;0.38180781851265955
active_spend_rate_std;0.19949183168925683;1.0055874837505299;1.2645865604444446
Beverages_Cafe_std;0.14237230281912971;0.20121032537742523;0.25269642701593864
Desserts_Snacks_std;0.13372724079454576;0.22649936150912348;0.28055557839507655
General_Asian_std;0.17247720593854107;0.23692529987546215;0.26747879178345263
Main_Dishes_std;0.17355496566439058;0.22344155194857823;0.27258975793906937
Other_Asian_std;0.1669668056001352;0.21351269548505972;0.24426646294344123
Western_std;0.19361839602286676;0.24004156465811616;0.27229237184912514
last_promo_std;1.0856786351290801;1.0995987113093304;1.1066257012223297
payment_method_std;0.6458946771163433;0.512637451457415;0.485759064068868
customer_region_0_std;0.3370285725272246;0.29500116540021587;0.27257307225029226
customer_region_1_std;0.47164222199612116;0.37142606377521176;0.3409720665525232
customer_region_2_std;0.4540036749601271;0.4662274655182995;0.47015863913291245
customer_region_3_std;0.4300189393634989;0.4935084370627975;0.49803225990584826
DOW_0_std;0.6021772371864198;0.9613233729388018;1.6618806116680342
DOW_1_std;0.5929409872709183;0.970433572507411;1.7473619063888393
DOW_2_std;0.6119600707068686;0.971721445549706;1.7050975635466987
DOW_3_std;0.6313886644675499;1.0168641994346352;1.7342423120166037
DOW_4_std;0.6656049250444471;1.0168480347742102;1.7562021693401844
DOW_5_std;0.688450789157454;1.0352435964000846;1.718067279101008
DOW_6_std;0.737025782711961;1.0956134913084774;1.9020760219315693
is_chain_count;17303;3296;5102
product_score_count;22265;3916;5556
vendor_score_count;22265;3916;5556
daytime_orders_count;14573;3290;5098
evening_orders_count;12576;2203;3386
chain_vendor_interaction_count;17303;3296;5102
CLV_Score_count;22265;3916;5556
value_retention_count;22265;3916;5556
value_growth_count;22265;3916;5556
growth_momentum_count;22265;3916;5556
spend_consistency_count;22265;3916;5556
avg_order_value_count;22265;3916;5556
active_spend_rate_count;22265;3916;5556
Beverages_Cafe_count;3717;1000;1949
Desserts_Snacks_count;2709;999;2068
General_Asian_count;6135;2038;3723
Main_Dishes_count;6800;1291;2198
Other_Asian_count;8584;1817;3226
Western_count;9136;2026;3586
last_promo_count;11676;1553;1815
payment_method_count;17723;3470;4966
customer_region_0_count;2909;377;449
customer_region_1_count;7436;647;746
customer_region_2_count;6468;1250;1832
customer_region_3_count;5452;1642;2529
DOW_0_count;5717;1800;3726
DOW_1_count;5848;1750;3720
DOW_2_count;6008;1885;3878
DOW_3_count;6401;1961;3894
DOW_4_count;7450;2069;3965
DOW_5_count;7345;1971;3775
DOW_6_count;7574;1976;3818
counts;22265;3916;5556
